ln,col,block,token,type
1,1,0,public,keyword
1,8,0,class,keyword
1,14,0,Test,identifier
1,19,1,{,delimiter
2,5,1,// Comment: a simple program to print fibonacci sequence,comment
3,5,1,public,keyword
3,12,1,static,keyword
3,19,1,void,keyword
3,24,1,main,identifier
3,28,1,(,delimiter
3,29,1,String,keyword
3,35,1,[,delimiter
3,36,1,],delimiter
3,38,1,args,identifier
3,42,1,),delimiter
3,44,2,{,delimiter
4,9,2,int,keyword
4,10,2,n,identifier
4,15,2,=,operation
4,17,2,15,literal
4,19,2,;,delimiter
4,21,2,// You can change the value of n as needed,comment
5,9,2,System,identifier
5,15,2,.,delimiter
5,16,2,out,identifier
5,15,2,.,delimiter
5,20,2,println,identifier
5,27,2,(,delimiter
5,28,2,"""Fibonacci sequence up to """,string_literal
5,56,2,+,operation
5,23,2,n,identifier
5,56,2,+,operation
5,62,2,""" terms:""",string_literal
5,71,2,),delimiter
5,72,2,;,delimiter
6,9,2,for,keyword
6,13,2,(,delimiter
6,14,2,int,keyword
6,14,2,i,identifier
6,20,2,=,operation
6,22,2,0,literal
6,23,2,;,delimiter
6,14,2,i,identifier
6,27,2,<,operation
6,15,2,n,identifier
6,23,2,;,delimiter
6,14,2,i,identifier
6,33,2,+,operation
6,33,2,+,operation
6,35,2,),delimiter
6,37,3,{,delimiter
7,13,3,System,identifier
7,19,3,.,delimiter
7,20,3,out,identifier
7,19,3,.,delimiter
7,24,3,print,identifier
7,29,3,(,delimiter
7,30,3,fibonacci,identifier
7,29,3,(,delimiter
7,26,3,i,identifier
7,41,3,),delimiter
7,43,3,+,operation
7,45,3,""" """,string_literal
7,41,3,),delimiter
7,49,3,;,delimiter
8,9,2,},delimiter
9,5,1,},delimiter
11,5,1,public,keyword
11,12,1,static,keyword
11,19,1,int,keyword
11,23,1,fibonacci,identifier
11,32,1,(,delimiter
11,19,1,int,keyword
11,20,1,n,identifier
11,38,1,),delimiter
11,40,2,{,delimiter
12,9,2,if,keyword
12,12,2,(,delimiter
12,13,2,n,identifier
12,15,2,<,operation
12,16,2,=,operation
12,18,2,1,literal
12,19,2,),delimiter
12,21,3,{,delimiter
13,13,3,return,keyword
13,18,3,n,identifier
13,21,3,;,delimiter
14,9,2,},delimiter
14,11,2,else,keyword
14,16,3,{,delimiter
15,13,3,return,keyword
15,20,3,fibonacci,identifier
15,29,3,(,delimiter
15,18,3,n,identifier
15,32,3,-,operation
15,34,3,1,literal
15,35,3,),delimiter
15,37,3,+,operation
15,20,3,fibonacci,identifier
15,29,3,(,delimiter
15,18,3,n,identifier
15,32,3,-,operation
15,53,3,2,literal
15,35,3,),delimiter
15,55,3,;,delimiter
16,9,2,},delimiter
17,5,1,},delimiter
18,1,0,},delimiter
